radius,angle_0_mean,angle_0_std_dev,angle_10_mean,angle_10_std_dev,angle_20_mean,angle_20_std_dev,angle_30_mean,angle_30_std_dev,adjustment,rails_radius_corrected,rails_radius_corrected_max
30,34.25034847,0.066755713,34.76375472,0.044982928,31.38009787,0.075186421,28.27185641,0.054542777,31.69393846,34.25034847,37.25034847
50,50.96219426,0.164966159,52.01214323,0.277413189,50.70048718,0.357679583,50.96219426,0.164966159,45.31721576,50.96219426,55.96219426
70,62.08015097,0.143564588,56.43702619,0.470202206,54.87659056,0.434855726,50.35018644,0.491935353,68.31260345,62.08015097,65.08015097
90,74.07968587,0.483430725,74.07968587,0.483430725,78.39697185,1.344742525,70.92113208,0.836214109,64.70289899,74.07968587,78.07968587
110,90.83174573,0.526470853,93.5566981,0.526351375,92.62113112,0.340257819,88.29402296,0.820045059,50.20822596,90.83174573,92.83174573
,,,,,,,,,,,
,,,,,,,,,,,
,65.94428693,0.066755713,66.45769318,0.044982928,63.07403633,0.075186421,59.96579487,0.054542777,,,
,96.27941002,0.164966159,97.32935899,0.277413189,96.01770294,0.357679583,96.27941002,0.164966159,,,
,130.3927544,0.143564588,124.7496296,0.470202206,123.189194,0.434855726,118.6627899,0.491935353,,,
,138.7825849,0.483430725,138.7825849,0.483430725,143.0998708,1.344742525,135.6240311,0.836214109,,,
,141.0399717,0.526470853,126.0895337,0.526351375,131.9601731,0.340257819,138.5022489,0.820045059,,,
