radius (mm),iteration ,sensed radius (circle fitting method),error ,avg error,std dev,sensed radius (gradient method),error,
30,1,33.1861,3.1861,2.01805,0.537679799,34.9583,4.9583,
30,2,31.6657,1.6657,,,28.3766,1.6234,
30,3,31.8991,1.8991,,,28.7423,1.2577,
30,4,31.5696,1.5696,,,42.8042,12.8042,
30,5,31.8905,1.8905,,,28.5834,1.4166,
30,6,31.8973,1.8973,,,47.8156,17.8156,
50,1,49.6304,0.3696,0.3283,0.037289409,150.8328,100.8328,
50,2,50.3621,0.3621,,,142.5055,92.5055,
50,3,50.3372,0.3372,,,136.3334,86.3334,
50,4,50.3374,0.3374,,,139.7345,89.7345,
50,5,50.3041,0.3041,,,122.3437,72.3437,
50,6,50.2594,0.2594,,,142.1012,92.1012,
70,1,68.8974,1.1026,8.22632,3.562667958,27.0201,42.9799,
70,2,60.0779,9.9221,,,31.1804,38.8196,
70,3,60.029,9.971,,,27.8302,42.1698,
70,4,60.0122,9.9878,,,28.6676,41.3324,
70,5,59.8519,10.1481,,,29.602,40.398,
90,1,75.5757,14.4243,14.51486667,0.065588431,24.63,65.37,
90,2,75.4225,14.5775,,,18.7849,71.2151,
90,3,75.4572,14.5428,,,24.7324,65.2676,
90,4,,90,,,,90,
90,5,,90,,,,90,
110,1,100.0788,9.9212,10.1306,0.400867135,27.5258,82.4742,
110,2,100.0787,9.9213,,,28.0825,81.9175,
110,3,100.0476,9.9524,,,11.8433,98.1567,
110,4,100.0739,9.9261,,,26.7642,83.2358,
110,5,99.068,10.932,,,18.9843,91.0157,
