Colour,Radius,Iteration,Data Radius Mean,Data Radius Error,Data Radius Std Dev
green,110.0,1,374.8555150673973,264.8555150673973,268.93272976219373
green,110.0,2,379.38519208329836,269.38519208329836,437.6672089742448
green,110.0,3,226.18190103019896,116.18190103019896,143.90065747612914
green,110.0,4,47.1596421136711,-62.8403578863289,46.07729232168944
green,110.0,5,485.7835885860064,375.7835885860064,483.03760073657804
green,50.0,1,109.39856268265567,59.398562682655665,121.16195710203239
green,50.0,2,228.99246644898443,178.99246644898443,197.9856087186815
green,50.0,3,304.678112006019,254.67811200601898,306.94966511834116
green,50.0,4,328.24026987423656,278.24026987423656,405.5757913589714
green,50.0,5,398.9745482649512,348.9745482649512,570.3383523738254
green,70.0,1,601.8522302735088,531.8522302735088,564.2514216589185
green,70.0,2,322.124145980995,252.12414598099502,291.9686805797093
green,70.0,3,2809.2581646530757,2739.2581646530757,2463.268400045644
green,70.0,4,627.0998570238719,557.0998570238719,589.0671005681841
green,70.0,5,531.2846357791927,461.28463577919274,721.0879801920842
green,90.0,1,332.4968384349646,242.49683843496462,263.3634297268422
green,90.0,2,192.66395741912632,102.66395741912632,141.22574542056506
green,90.0,3,327.31957644943617,237.31957644943617,328.22987785436703
green,90.0,4,505.29128164865665,415.29128164865665,412.47793100565343
green,90.0,5,48.48214391009526,-41.51785608990474,39.79282690972225
Colour,Radius,Iteration,Data Radius Mean,Data Radius Error,Data Radius Std Dev
