Colour,Radius,Iteration,Data Radius Mean,Data Radius Error,Data Radius Std Dev
green,110.0,1,323.39758571821386,213.39758571821386,153.45332959306754
green,110.0,2,587.3132921292661,477.3132921292661,337.8555217009427
green,110.0,3,309.20453444947503,199.20453444947503,146.97568503760994
green,110.0,4,924.1847324199401,814.1847324199401,734.0997533060333
green,110.0,5,270.85587593775466,160.85587593775466,185.65299760513932
green,50.0,1,160.9666084618517,110.9666084618517,161.58767364960502
green,50.0,2,186.1733545737931,136.1733545737931,234.10767960002642
green,50.0,3,147.02364784693307,97.02364784693307,153.52320294019302
green,50.0,4,165.1232129078551,115.1232129078551,210.4757260613239
green,50.0,5,378.34451728641983,328.34451728641983,448.5024008056336
green,70.0,1,146.21603715895927,76.21603715895927,187.21430916678767
green,70.0,2,148.63770455111376,78.63770455111376,128.8619820416541
green,70.0,3,211.8283779029124,141.8283779029124,173.71665320685133
green,70.0,4,302.7910070577081,232.7910070577081,304.45316352442524
green,70.0,5,1019.0465908945014,949.0465908945014,1660.6332280773713
green,90.0,1,89.76962043165062,-0.23037956834937745,72.67258853633345
green,90.0,2,90.28799746336482,0.28799746336481746,70.78288713736605
green,90.0,3,348.5232163342062,258.5232163342062,410.33012610584035
green,90.0,4,171.80982246684633,81.80982246684633,132.4968587319702
green,90.0,5,167.83642164128017,77.83642164128017,116.65316226277389
