Time (s),Force (g)
0,0
0.125,0
0.25,0
0.375,0
0.5,0
0.625,0
0.75,0
0.875,0
1,0
1.125,0
1.25,0
1.375,0
1.5,0
1.625,0
1.75,0
1.875,0
2,0
2.125,0
2.25,0
2.375,0
2.5,0
2.625,0
2.75,0
2.875,0
3,0
3.125,0
3.25,0
3.375,0
3.5,0
3.625,0
3.75,0
3.875,0
4,0
4.125,0
4.25,0
4.375,0
4.5,0
4.625,0
4.75,0
4.875,0
5,0
5.125,0
5.25,0
5.375,0
5.5,0
5.625,0
5.75,0
5.875,0
6,0
6.125,0
6.25,0
6.375,0
6.5,17.411736
6.625,29.848691
6.75,29.848691
6.875,34.823472
7,37.310863
7.125,37.310863
7.25,37.310863
7.375,37.310863
7.5,39.798254
7.625,42.285645
7.75,42.285645
7.875,42.285645
8,47.260427
8.125,47.260427
8.25,47.260427
8.375,54.722599
8.5,59.697381
8.625,77.109117
8.75,77.109117
8.875,77.109117
9,77.109117
9.125,77.109117
9.25,77.109117
9.375,79.596508
9.5,77.109117
9.625,77.109117
9.75,77.109117
9.875,82.083899
10,82.083899
10.125,84.57129
10.25,84.57129
10.375,84.57129
10.5,84.57129
10.625,84.57129
10.75,87.058681
10.875,82.083899
11,82.083899
11.125,82.083899
11.25,87.058681
11.375,84.57129
11.5,87.058681
11.625,87.058681
11.75,87.058681
11.875,84.57129
12,87.058681
12.125,92.033463
12.25,94.520854
12.375,97.008245
12.5,97.008245
12.625,94.520854
12.75,94.520854
12.875,97.008245
13,97.008245
13.125,97.008245
13.25,101.983026
13.375,101.983026
13.5,101.983026
13.625,101.983026
13.75,99.495635
13.875,101.983026
14,101.983026
14.125,101.983026
14.25,101.983026
14.375,101.983026
14.5,101.983026
14.625,101.983026
14.75,101.983026
14.875,101.983026
15,101.983026
15.125,101.983026
15.25,101.983026
15.375,101.983026
15.5,101.983026
15.625,101.983026
15.75,101.983026
15.875,101.983026
