Time (s),Force (g)
0,0
0.125,0
0.25,0
0.375,0
0.5,0
0.625,0
0.75,0
0.875,0
1,0
1.125,0
1.25,0
1.375,0
1.5,0
1.625,0
1.75,0
1.875,0
2,0
2.125,0
2.25,0
2.375,0
2.5,0
2.625,0
2.75,0
2.875,0
3,0
3.125,0
3.25,0
3.375,0
3.5,0
3.625,0
3.75,0
3.875,0
4,0
4.125,0
4.25,0
4.375,0
4.5,0
4.625,0
4.75,0
4.875,0
5,0
5.125,0
5.25,0
5.375,4.974782
5.5,7.462173
5.625,14.924345
5.75,19.899127
5.875,19.899127
6,24.873909
6.125,24.873909
6.25,24.873909
6.375,22.386518
6.5,22.386518
6.625,24.873909
6.75,24.873909
6.875,24.873909
7,24.873909
7.125,24.873909
7.25,27.3613
7.375,27.3613
7.5,27.3613
7.625,27.3613
7.75,27.3613
7.875,27.3613
8,27.3613
8.125,27.3613
8.25,27.3613
8.375,34.823472
8.5,54.722599
8.625,77.109117
8.75,72.134336
8.875,77.109117
9,77.109117
9.125,77.109117
9.25,77.109117
9.375,79.596508
9.5,79.596508
9.625,82.083899
9.75,82.083899
9.875,82.083899
10,82.083899
10.125,82.083899
10.25,82.083899
10.375,82.083899
10.5,84.57129
10.625,82.083899
10.75,84.57129
10.875,84.57129
11,84.57129
11.125,84.57129
11.25,84.57129
11.375,84.57129
11.5,84.57129
11.625,84.57129
11.75,84.57129
11.875,84.57129
12,84.57129
12.125,84.57129
12.25,97.008245
12.375,97.008245
12.5,77.109117
12.625,92.033463
12.75,92.033463
12.875,89.546072
13,104.470417
13.125,111.93259
13.25,114.419981
13.375,116.907372
13.5,116.907372
13.625,116.907372
13.75,116.907372
13.875,116.907372
